Class,Total
Pre-Calculus with College Algebra,3.5
Earth & Space Science,3.5
Electronics,3.5
Elementary Logic,3.5
ENGINEERING,3.5
Engineering & Design,3.5
Engineering & Technology,5.25
Engineering 1,3.5
Engineering 2,3.5
ENGINEERING BASICS,3.5
Engineering Design,5.25
Engineering Design 1,3.5
ENGINEERING DESIGN DEVELOPMENT,3.5
Intro to Engineering Principles of Engineering,5
Engineering Principles,5.25
Environmental Science,3.5
Excel Algebra 1,1.75
Excel Biology,1.75
Excel Physics,3.5
Exploring Computer Science,3.5
Finance & Math 1,1.75
ISP Quantum Mechanics,5
Finance & Math 2,3.5
Forensic Science,3.5
Forensics,3.5
Fundamentals of Internet Technology,1.75
Fundamentals of IT,1.75
FUNDAMENTALS OF PROGRAMMING,1.75
Game Programming 1,1.25
Game Programming 2,2.0
Game Design 1,1.75
Gaming,3.5
geometry,1.75
Geometry 2,3.5
Geometry with Algebra,1.75
HL MATH APPLICATIONS & INTERPRETATIONS,5.25
Honors Advanced Algebra,3.5
Honors Advanced Algebra & Trig,3.5
HONORS ADVANCED ALGEBRA 2,3.5
HONORS ADVANCED ALGEBRA WITH TRIG,3.5
Honors Advanced Algebra with Trig AB,3.5
Honors Advanced Alg with Trig BC,3.5
Honors Advanced Algebra with Trig,3.5
HONORS ADVANCED ALGEBRA WITH TRIG BC,3.5
HONORS ADVANCED ALGEBRA WITH TRIGNOMETRY,3.5
HONORS ADVANCED PROGRAMMING,3.5
HONORS ADVANCED STUDIES COHORT,5.25
Honors Algebra 2/Trig/Pre-Calc,3.5
Trig honors algebra 2, 3.5
Honors Advanced Trignometry,3.5
AP Physics C Mechanics Engineering,5.25
CIS Computer Information Science 101 Computer Information,3.5
Advanced Trig,3.5
Honors Advandced Algebra with Trig,3.5
Honors Advanced Algrebra with Trig,3.5
Honors Advanced Mathematics,3.5
Honors Aerospace Engineering,3.5
HONORS AEROSPACE SCIENCE,5.25
Honors Alebra 1,1.75
HONORS ALEGBRA,1.75
Honors Alegbra 1,1.75
Honors Alegbra 2,3.5
Honors ALG2/TRG,3.5
Honors Algebra,1.75
Honors Algebra / Trig,3.5
Honors Algebra 1,1.75
Honors Algrebra 1,1.75
Honors Math 1,1.75
Honors Algebra 2,3.5
Honors Algebra 2 / Trigonometry,3.5
Honors Algebra 2 with Trigonometry,3.5
Honors Algrebra 2,3.5
Honors Algebra 2/Honors Trig,3.5
Honors Math 3,4
Honors Math 4,5
Honors Algebra 2/Trig,3.5
Honors Algebra II,3.5
Honors Algebra Theory,7
Honors Algebra Trig,3.5
HONORS ALGEBRA WITH TRIG,3.5
Honors Anatomy,5.25
HONORS ANATOMY & PHYSIOLOGY,3.5
Honors Android App Development,5.25
Honors Aquaponics,5.25
Honors Aquaponics 1,5.25
HONORS AQUAPONICS INDEPENDENT STUDY,3.5
Honors Artificial Intelligence,7
Honors Astronomy,3.5
Honors Auqaponics 2,5.25
Honors Biochemistry,5.25
Honors Biology,1.75
Honors Biology 1,1.75
Honors Biology 3,5.25
HONORS BIOTECHNOLOGY,7
Honors Biotechology,7
Honors Calculus,7
HONORS CALCULUS 3,7
Honors Chemistry,1.75
Honors Chemistry 1,1.75
Honors Chemisty,1.75
Honors Chemistry 2,3.25
Honors Civil Engineering,7
HONORS CIVIL ENGINEERING & ARCHITECTURE,5.25
HONORS CIVIL ENGINEERING ARCHITECTURE,5.25
Honors College Alg/Trig,5.25
HONORS COMPUTATIONAL THINKING,5.25
Honors Computational Thinking & Problem Solving,5.25
HONORS COMPUTER PROGRAMMING THROUGH MEDIA COMPUTATION,3.5
HONORS COMPUTER PROGRAMMING THROUGH MEDIA COMPUTATION',3.5
Honors Computer Science,3.5
Honors Cumputer Science,3.5
Honors Computer Science 1,3.5
Honors Computer Science 2,3.5
Honors Physical Computing Lab,1.75
HONORS CONCEPTUAL PHYSICS,7
HONORS CP ENGINEERING DESIGN,5.25
Honors Cybersecurity,7
Honors Design Development,3.5
HONORS DIFFERENTIAL EQUATIONS,7
Honors Differential Equations & Linear Algebra,7
Honors Digital Electronics,3.5
Honors Digital Imaging,5.25
HONORS EARTH & SPACE SCIENCE,3.5
Honors Engineering,7
HONORS ENGINEERING 1,3.5
Honors Engineering Design,5.25
Honors Engineering I,5.25
Honors Environmental Science,3.5
Honors EPICS,7
HONORS EXPLORING COMPUTATIONAL THINKING,3.5
Honors Exploring Computer Science,3.5
HONORS EXPLORING COMUTER SCIENCE,3.5
Honors Forensic Science,3.5
Honors Forensic Science & Biotechnology,5.25
Honors Forensics,3.5
Honors Fundamentals of IT,3.5
Honors Fundementals of IT,3.5
Honors Wed Design,3.5
Honors Fundementals of Internet Technology,3.5
Honors Gaming 1,3.5
Honors Gaming Concepts,3.5
HONORS GEMOMETRY 1,3.5
Honors Geometry,1.75
HONORS GEOMETRY & TRIG,1.75
Honors Geometry 1,1.75
Honors Geometry 2,3.5
Honors Human Anatomy,5.25
HONORS HUMAN BODY SYSTEMS,5.25
Honors Human Comp Inter 1,3.5
Honors Human Comp Interactions 1,5.25
Drafting Orientation,3.5
Regulars Biology 1,1.75
Regulars Chemistry,1.75
Regulars Advanced Algebra with Trig,3.5
Bio,1.75
Chem,1.75
Pre-AP Chemistry H,1.75
Honors Math AB,3.5
Engineering & Manufacturing H,5.25
Multivariable Calculus H,7
MTH-141 Summer course equivalent to Algebra II,3.5
APA Geometry College Algebra,3.5
Honors Geometry & Trig integrated math 2f,3.5
Honors Statistics & Pre-Calc intregrated math 3s,5.25
Honors Advanced Algebra withTrig HH,3.5
Honors Chemistry HH,1.75
Advanced Algebra with Trig HH,3.5
With Triganomitry, 3.5
ILIS Independent Study,5.25
Honors Chemistry AB,1.75
Honors Chemistry BC,1.75
Honors Trig BC,3.5
Math 141,3.5
CollCred A Mathematics,3.5
HS2 Intro to Robotics,5.25
HS Algebra for MG,3.5
ATP Algebra 2,3.5
Honors Chgo Builds Orientation to Construction Trades,5.25
Advanced Physics Senior Elective,5.25
AP Chemistry Extended Dual-Credit with Loyola,1.75
STEM Careers Workplace Exp,5.25
HONORS HUMAN COMPUTER INTERACTION,3.5
Honors Human Computer Interaction & Design (Makers),3.5
HONORS INNOVATION CREATION LAB (MAKER'S LAB),5.25
HONORS INNOVATION CREATIVE LAB,3.5
Honors Integrated Math 2,3.5
Honors Integrated Math 3,5.25
Honors Integrated Math 4,5.25
HONORS INTERGRATED MATH 2,3.5
HONORS INTERGRATED SCIENCE 1,3.5
HONORS INTERMEDIATE COMPUTER SCIENCE,3.5
Honors Intro Engineering Design,5.25
Honors Intro to AI,7
HONORS INTRO TO AQUAPONICS,3.5
Honors Intro to Artificial Intelligence,7
Honors Intro to engineering,5.25
Honors Intro to Engineering & Design,5.25
Honors Intro to Engineering 1,7
Honors Intro to Engineering 2,7
Honors Intro to Engineering Design,5.25
Honors Introduction to Engineering Design,5.25
Honors Introduction Engineering Design,5.25
Honors Intro to Robotics,7
Honors Introduction to AI,7
HONORS INTRODUCTION TO ARTIFICIAL INTELLIGENCE,7
HONORS INTRODUCTION TO CYBERSECURITY,5.25
Honors Introduction to Engineering,5.25
Honors Introduction to Engineering & Design PLTW,7
Honors Introduction to Engineering Design,5.25
Honors Introduction to robotics,7
Honors IT Problem Solving,5.25
HONORS JAVA,3.5
HONORS JAVA & MEDIA COMPUTATION,3.5
HONORS KALEIDO ADVANCED MATHEMATICS,5.25
HONORS KAM ANALYSIS,5.25
Mathematical Investigations I/II,3.5
Student Inquiry & Research,3.5
Mathematical Investigations 3,3.5
Mathematical Investigations 4,3.5
Honors Math IIA,3.5
Honors Math IIIB,5.25
Honors Math IVB,5.25
HONORS MEDIA COMPUTATION,3.5
HONORS MEDIA JAVA & MEDIA COMP,3.5
HONORS MEDICAL INTERVENTIONS,3.5
HONORS MICRO ARCHITECTURE,5.25
HONORS MICROARCHITECTURE,7
HONORS MICROARCHITECTURE & LOGIC DESIGN,7
Honors Microarchitecture Logic & Design,7
Honors Microarchitecture Logic Design,7
Honors Multivariable Calculus,8.75
Honors Multi Variable Calculus,8.75
Honors Multivariate Calculus,8.75
Dual Enrollment Multivariable Calculus,8.75
HONORS NEUROSCIENCE,5.25
Honors Physical Science,3.5
Honors Physics,3.5
Honors Physics 1,3.5
Honors Pre Calculus,5.25
pre calculus,5.25
HONORS PRE CALULUS,5.25
Honors PreCalc,5.25
Honors Pre-Calc,5.25
Honors Accelerated Pre-Calc & Differential Calc,6
HONORS PRE-CALC BC,3.5
Pre-calculus BC,1.75
Precalc 1,3.5
AP PreCalculus,3.5
Honors Precalculus,5.25
Honors Pre-calculus,5.25
Honors Pre-Calculus Advanced Placement Calculus,5.25
Algebra 2-Triganomatry & Pre-Calculus,5.25
Honors Precalculus B/C,5.25
Honors Pre-Calc B/C,5.25
Honors Precalculus BC,5.25
HONORS PRE-CALCULUS BC,5.25
Honors Prgm & Media Compu,5.25
HONORS PRINCIPAL OF ENGINEERING,5.25
Honors Principals of Engineering,3.5
Honors Principles of Engineering,3.5
Honors Principles of Engineering 1,7
Honors Principles of Engineering 2,7
Honors Principles of Engineering PLTW,7
HONORS PROBABILITY & STATISTICS,5.25
Honors Probaility & Statistics,3.5
HONORS PROGRAMING & COMPUTER SCIENCE,3.5
Honors Programming 1,3.5
Honors Project Lead the Way Engineering Design & Development,5.25
Honors Project Lead the Way Introduction to Engineering,5.25
Honors Project Lead the Way Principles of Engineering,5.25
Honors Pyhsics,3.5
Honors Robotics,7
HONORS SCIENCE 2,3.5
HONORS SCIENCE 3,5.25
Honors Software App 1,5.25
Honors Software App 2,7
Honors Software App II,5.25
Honors Sound Engineering,3.5
Honors STEM Research,7
Honors STEM Senior Experience,7
Honors TCS,3.5
Honors Trig,3.5
Honors Trigonomety,3.5
Honors Trigonometry 3,3.5
Honors Trig 3,3.5
Honors Trig/Advanced Algebra,3.5
Honors Trig/Algebra 2,3.5
HONORS TRIG-CALC-STATS,5.25
Honors Web Design,5.25
Honors Web Design 1,3.5
Honors Web Design 2,5.25
HONORS WEB DEVELOPMENT,3.5
HS1 GEOMETRY,1.75
HUMAN ANATOMY,3.5
IB Advanced Algebra,3.5
Advanced Algebra With,3.5
IB Advanced Algebra Trig,3.5
IB ADVANCED ALGEBRA WITH TRIG,3.5
IB Algebra,3.5
IB Biology,1.75
IB Biology 1,1.75
IB Biology 2,3.5
IB Biology Higher Level,1.75
IB Biology HL,1.75
IB Biology II,3.5
IB Biology SL,1.75
IB calculus,7
IB Calculus 1,7
Ib Calculus 2,7
IB Chemistry,1.75
IB Chemistry 1,1.75
IB Chemistry 2,1.75
IB Chemistry Standard Level,1.75
IB Chemistry SL,1.75
IB Computational Design,7
IB DP Biology 1,1.75
IB DP Biology II,3.5
IB DP Math Application & Interpretations 1,5.25
IB DP Math Application & Interpretations 2,5.25
IB Geometry,1.75
IB Higher Level Chemistry 1,1.75
IB Chemistry HH,1.75
IB Higher Level Chemistry 2,3.5
IB Higher Level Math Analysis & Approaches 1,5.25
IB Higher Level Math Analysis & Approaches 2,5.25
IB HL BIOLOGY 1,1.75
IB HL Biology 2,3.5
IB HL Physics 1,3.5
IB HL Physics 2,5.25
IB MVP Physics,5.25
IB Info Technology,5.25
IB Information Technology in a Global Society,5.25
IB Integrated Math 1,5.25
IB Integrated Math 2,5.25
IB ITGS (Information Technology in a Global Society),5.25
IB MATH 1,3.5
IB MATH 2,3.5
IB Math Studies,3.5
IB Math Application & Interpretations 1,5.25
IB Math Application & Interpretations 2,5.25
IB Math Application & Interpretations II,5.25
IB Math Applications & Interpretations,5.25
IB Math SL,3.5
IB Math Analysis & Approaches SL,3.5
IB Mathamatics Standard Level,3.5
IB Mathematical Studies,3.5
IB Physics,3.5
IB Science Inquiry,5.25
IB SL Biology 1,1.75
IB SL Biology 2,3.5
IB SL Biology II,3.5
IB SL Chemistry 1,1.75
IB SL Chemistry 2,3.5
IB SL Math & Interpretations,5.25
IB SL Math Analysis & Approaches,5.25
IB SL MATH ANALYSIS & APPROACHES 1,5.25
IB SL MATH ANALYSIS & APPROACHES 2,5.25
IB SL Math Application & Int,5.25
IB SL Math Application & Interpretations,5.25
IB SL Math Application & Interpretations 1,5.25
IB SL Math Application and Interpretations I,5.25
IB SL Mathematics 1,3.5
IB SL Mathematics 2,3.5
IB SL Physics 1,3.5
IB SL Physics I,3.5
IB SL PHYSICS II,5.25
IB Technology,5.25
INFORMATION SECURITY ESSENTIAL,3.5
integrated math 1,3.5
Integrated Math 2,3.5
Integrated Math 3,5.25
Integrated Math 4,5.25
integrated math II,3.5
IB ITGS Information Technology in a Global Society,3.5
Integrated Physical Science,5.25
Integrated Science 1,3.5
Integrated science 2,3.5
INTERNETWORKING 1,3.5
INTERNETWORKING 2,3.5
Intro Computer Sci,3.5
INTRO TO COMPUTER APPLICATIONS,3.5
Intro to Computer Science,3.5
Intro to Python,1.75
Intro to Java,1.75
Android Programming,1.75
Engineering Design & Development CS,3.5
Introduction to Cybersecurity,3.5
Intro to Engineering,5.25
INTRO TO ENGINEERING & DESIGN,3.5
Intro Engineering Design,5.25
Intro to Engineering Design,5.25
Intro to Engineering Princlples of Engineering,5.25
Intro to Robotics,5.25
Introduction to AI,5.25
INTRODUCTION TO ENGINEERING,5.25
Introduction to Engineering Design,5.25
Introduction to Robotics,5.25
INTRODUCTION TO TEACHING TECHNOLOGY,1.75
IOS APP DEVELOPMENT,3.5
IT PROBLEM SOLVING,3.5
Kaleidoscopic Advanced Mathematics,3.5
LEADERSHIP IN TECHNOLOGY,1.75
LEADERSHIP IN TECHNOLOGY 2,1.75
LINEAR ALGEBRA,7
Mathematical Physics,3.5
MICROARCHITECTURE & LOGIC DESIGN,5.25
Microarchitecture Logic Design,7
Mobile Application Development,5.25
Modern Biology,5.25
Modern Geometry,3.5
MULTIVARIABLE CALCULUS,8.75
ONORS MEDICAL INTERVENTIONS,5.25
OPERATING SYSTEMS 1,3.5
OPERATING SYSTEMS 2,3.5
PDP CHEMISTRY,1.75
PDP PHYSICS,3.5
Peer Mentorship & Leadership,1.75
Physical Science,1.75
physics,3.5
PHYSICS 2,5.25
Physics Pre Diploma Program,3.5
Physics Sound & Light,3.5
Planetary Science,3.5
PLTW AEROSPACE ENGINEERING,7
PLTW INTRODUCTION TO ENGINEERING DESIGN,5.25
PLTW PRINCIPLES OF ENGINEERING,5.25
Pre Algebra,1.75
Pre- Calculus,5.25
Pre-Calc,3.5
Pre-Calc 143,3.5
Pre-Calculus,5.25
Pre-Calculus Pre Diploma Program,5.25
Pre-IB Biology,1.75
Pre-IB Chemistry,1.75
Pre-IB Geometry Accelerated,1.75
Pre-IB Integrated Math,3.5
Principles of Engeneering,5.25
Principles of Engineering,5.25
PROJECT SYNCERE,5.25
PSYCHOLOGY,3.5
Honors Psychology,3.5
Psychology & Aerodynamics,5.25
Regulars Biology,1.75
REGULARS GEOMETRY,1.75
REGULARS PHYSICS 1,3.5
RESEARCH & PROJECT DESIGN,3.5
Robotics,5.25
RS1 ADVANCED ALGEBRA,3.5
RS1 PRE-CALCULUS,5.25
SL PHYSICS,3.5
SOFTWARE DEVELOPMENT LAB,3.5
STEAM 1,1.75
STREAM 1,1.75
STEAM 2,3.5
STREAM 2,3.5
STEAM 3,5.25
STEAM 4,7
Stem,1.75
STEM INTRO TO COMPUTER SCIENCE,3.5
Survey Tech/Engineering,3.5
Technology,1.75
Technology,3.5
Trig,3.5
Trig/Stats/Discrete Mathematics,3.5
UI Health fo Enrichment,1.75
Video Media,5.25
Web Applications Frameworks 1,3.5
Web Applications Frameworks II,5.25
Web Design,3.5
Graphic Design,3.5
Apple IOS,3.5
WEB DESIGN 1,3.5
Web Design 2,3.5
Web Development 1,5.25
Web Development 2,5.25
Web Development 3,5.25
Web Development IV,5.25
Web Page Design,3.5
Web Site Design Fund 1,5.25
Web Site Design Fund 2,5.25
Honors Innovation Creation Lab Maker's Lab,3.25
Honors Human Computer Interaction & Design Makers,4
Computer Integrated Manufacturing,4
AP Physics C Mechanics & Electricity & Magnetism,3.5
AP Physics C Electricty & Magnetism,3.5
Electrical Engineering,5.25
AP Physics C Electromagnetism Engineering,3.5
Honors Integrated Math 1,3
Advanced Placement Calculus AB,4
Honors Inquiry Science 1,1.5
Honors Inquiry Science 2,2.75
Honors Inquiry Science 3,3.5
Biology 1,1
Advanced Biological Systems,3.5
General Chemistry 1,1
Physics 1,1
Digtal Media,2
After School Matters Pre-Freshman Engineering Program,3
Introductory Computer Science,1
Informational Technology,2
Algebra Literacy,1.75
Apple Programming,2.5
Principles of Biomedical Science,3
Honors Algebra 2/ Trig,2.5
Honors Algebra 2 With Trig,2.5
Human Body Systems,2
Medical Interventions,3
Advanced Algebra & Trig,2
AP Stats,3
Accelerated Pre-Calc,3
Honors Algebra II-Trig-Pre-Calc,3
AP US History,0
KAM Analysis,3
Ib reading,0
Accelerated Algebra 2,2
chemistry 102,2
introduction to engineering & design,3
graphic arts,0
accelerated geometry & trig,4
engineering & design capstone,4
physics 102,2
ap phsyics AB,5
CAD 1,2
chemistry 1,1
Environmental Chemistry,3.5
Independent Study in Physics,3.5
science 1,1
Dual-Credit Calculus 3,5
Dual-Credit Calculus 3,5
IT Essentials,3
Integrated Science,4
Honors Game Programming 1,2.75
Honors Game Programming 2,3.5
Honors Computer Networking I,3.5
Honors Fundamental of IT,3
College Calculus 2,7
College Calculus 1,7
Double Period Game Programming 1,2.75
Dual-Credit Calculus,7
Double Period Game Programming II,3.75
IB Mathematics Apl & Interpretation HL1,5
IB Mathematics Apl & Interpretation HL2,6
IB Mathematics Interpretations & Applications,5
IB SL Math Application & Int 1,5
Honors Advanced Algebra with Triginometry,3
Honors ATP Advanced Algebra,3
Math 2,2
Math 3,3
Math 4,4
Religion 4,0
Exploring Faith & Science,0
Honors Zoology,3
IB SL Math Application,4
Pre-DP Algebra,2
honors pre calc,2
Honors Human Computational Interaction,3
Advanced Algegra with Trig,3
Independent Technology Self-Study,3
Honors Digital Imaging 1,1
Honors Digital Imaging 2,1
Honors Digital Imaging 3,1
Honors Digital Imaging 4,1
Honors Integrated Math IIII,5
Calculus 3,5
AP Physics Algebra-based,3
Engineering Projects In Community Service EPICS,4
Honors EPICS Engineering,4
Honors Civic Action through Computer Science,2
Microsoft Office Specialist Course,2
PLTW-Principles of Engineering,5
Intro to Web Development,3
PLTW-Introduction to Engineering Design,5
Calculus 207,5
Programming Innovation & Computer Science,4
IB Advanced Algebra 2,5
IB SL Math Applications & interpretations,5
General Chem 201,4
BC Calculus,5
Statistics 202,4
Astronomy: Modern Cosmology 101,4
Sound Engineering,4
Differential Equations,6
IB HL Math Analysis & Approaches II,4
IB HL Chemistry 2,4
IB SL Physics 2,4
IB HL Math Analysis & Approaches,4
IB HL Chemistry 1,3
Alg II-Trig-PreCalc PDP,3
Geometry-Adv Alg PDP,3
Biology PDP,4
Math 118 General Math & Stats,4
Math 207,4
HS1 Exploring Computer Science,4
Math 1,3
Astronomy Modern Cosmology 101,4
EPICS,5
HS1 Exploring Computer Science,4
Intro Op Sys,4
Statistics,3.75
Dual-Credit Chemistry DE,1.75
Intro to Psychology DE,3.5
Math DE,3.5
Math 140 DE,3.5
Intro to Economics DE,3.5
Biology 114 DE,1.75
Physical Science DE,1.75
Human Development Psychology,3.5
Paradoxes in Physics,3.5
Introduction to Probability,3.5
Molecular Engineering-An Introduction,5.25
Essentials of Chemistry & its Application,1.75
Introduction to Robot Programming & Design,5.25
Introduction to Neuroscience,5.25
college prep biology,1.75
college prep health education,1.75
College prep accounting,3.5
Geometry HH,3.5
Chemistry HH,1.75
Advanced Algebra withTrig HH,3.5
AP PreCalculus,5.25
Physics HH,3.5
Geometry HH,3.5
Chemistry HH,1.75
Advanced Algebra withTrig HH,3.5
AP PreCalculus,5.25
Physics HH,3.5
AP Pre-Calc,5.25
AP Physics C Calculus/Mechanics,5.25
Honors Adv/Algebra with Trig,3.5
Honors Programming,3.5
Honors Android Development,5.25
Honors Advanced Algebra & Trig BC,3.5
Honors Advanced Algeba with Trig,3.5
Honors Geometry with Algebra,1.75
Honors Math BC,7
Rose-Hulman Institute of Technology Operation Catapult,5.25
Mathematics 1A Algebra,1.75
Creative Computing & Coding,3.5
Mathematics 1B Algebra,1.75
Biology & Life Sciences,1.75
Integrated Science 1B Biology,1.75
Mathematics 2A Geometry,1.75
Integrated Science 2A Chemistry,1.75
Mathematics 2B Geometry,1.75
Mathematics 3A Algebra 2,3.5
Science 2,1.75
Chemistry & Physics,3.5
Integrated Science 2B Chemistry,1.75
Mathematics 3B Algebra 2,3.5
Advanced STEM Studio Biology,1.75
Advanced STEM Studio Intro to Conceptual Calculus,5.25
Integrated Science 3A Physics,3.5
Advanced STEM Studio Anatomy & Physiology,3.5
Advanced STEM Studio Biology 2,1.75
Advanced STEM Studio Electricity & Energy,3.5
Advanced STEM Studio Environmental Science,3.5
Integrated Science 4A,3.5
Integrated Science 4BBiochemical Earth Systems,3.5
Northwestern University College Prep Program So You Want to Be a Rocket Scientist,5.25
College Algebra,3.5
Calculus for Engineers 1,7
Advanced STEM Studio Financial Algebra,3.5
Honors Discrete Mathematics,3.5
Fundementals of IT,1.75
Computer Networking 1,3.5
Honors STEM Careers Workplace Experience,3.5
Science Fitness & Wellness,1.75
Honors Algebra 2/Trigonomtry,3.5
Apple App coding,3.5
IB Integrated Math,5.25
Advanced Physics,3.5
Honors Algebra/ Pre-Calc,5.25
Honors Geometry/Pre-Calculus,5.25
Honors Advanced Algebra withTrig,3.5
Portfolio Physical Computing,3.5
Integrated Mathematics 2,3.5
Honors Biology l,1.75
Web Design ll,5.25
IB Digital Society,5.25
Honors Engineering Essentials,5.25
Calculus AB,5.25
Calc 2,7
Accelerated Advanced Algebra & Trig,3.5
DIscrete Math & Statistics,3.5
Advanced Pre-Calculus/Calculus A,5.25
Neuroscience,5.25
Advanced Topics Physics 1,3.5
Artificial Intelligence,7
Machine Learning,7
Advanced Placement Biology,1.75
English 1,1.75
Multicultural Literature Chemistry,1.75
World History,1.75
World Literature American Literature,1.75
US History,1.75
Economics & Government,1.75
English Literature,1.75
Math,3.5
AP-Calculus Science Biology,5.25
Honors Algebra Theory 1,7
Honors Geomery,1.75
HS1 Algebra 1,1.75
Honors Biology RS1 Chemistry RS1 Geometry,1.75
Honors Physics RS1Adv Algebra With Trig,3.5
Honors Anatomy & Physiology RS1 Probability & Statistics,3.5
Intergrated math 2,3.5
Intergrated math 1,3.5
Finite Math,3.5
AP Phsics 1,3.5
Honors Organic Chemistry,1.75
H Biology,1.75
Computer Information,3.5
College Credit Science,5.25
Dual Enrollment Calculus 1,7
Honors Genetics,5.25
Honors Advance Algebra With Trig,3.5
Honors Civil Engineering & Architec,5.25
Honors Digital Imaging II,1.75
Advanced Geometry & Problem Solving,3.5
Math 125 Introductory Statistics,3.5
Math 209 Calculus & Analytic Geometry III,7
Dual-Credit Bio 100,1.75
Dual-Credit Bio 201,1.75
Dual-Credit Pre-Calc 143,3.5
AP/DC Computer Science Principles A,3.5
AP/DC Pre-Calculus,5.25
AP/DC Biology,1.75
AP/DC Calculus 1,7
Honors Physics Algebra 1,3.5
Honor Biology,1.75
Computer Application,3.5
Honors Graphic Design,3.5
Honors Math 2,3.5
Pre-Engineering 1,5.25
Pre-Engineering 2,5.25
