,regressor,col_list,train_score,train_mae,test_mse,test_mae
12,PLSRegression,"['Weighted GPA', 'University', 'GPA', 'STEM', 'Major']",13.074408274540996,2.8988321437926383,20.557875356198902,3.743612250149232
13,PLSRegression,"['Weighted GPA', 'Reviewer', 'University', 'GPA', 'Major']",12.64113401150056,2.797765565516554,22.961537969922695,4.023467872124559
14,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'GPA', 'STEM']",9.027779444990173,2.3004915097806773,15.836915892161517,3.2603029541352484
15,PLSRegression,"['High School', 'Reviewer', 'GPA', 'STEM', 'Major']",8.160576501763483,2.214713851483406,18.345364188999167,3.5394839987707547
16,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'STEM', 'Major']",8.534104119475316,2.2465667340010254,17.779338005630823,3.4617895023947876
17,PLSRegression,"['High School', 'Weighted GPA', 'GPA', 'STEM', 'Major']",8.079307647140842,2.2048538313814023,18.38035909213241,3.41332813232904
18,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'GPA', 'Major']",8.785281724737485,2.3582548807459807,19.120277702310258,3.5013665725914556
19,PLSRegression,"['High School', 'Reviewer', 'University', 'GPA', 'STEM']",7.392080880817436,2.0353149800701673,18.523383724574455,3.5967677226393606
20,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'University', 'STEM']",7.37231116422451,2.0641242851728863,18.003310476648693,3.53225671520528
21,PLSRegression,"['High School', 'Weighted GPA', 'University', 'GPA', 'STEM']",7.092874598310597,2.04929088293441,18.360106743399914,3.5120332981488342
22,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'University', 'GPA']",7.717949615232738,2.1409210745983147,19.165443039427895,3.5851621528584072
23,PLSRegression,"['High School', 'Reviewer', 'University', 'STEM', 'Major']",7.456118060905766,2.1001953815814676,21.22190278312194,3.88503846172521
24,PLSRegression,"['High School', 'University', 'GPA', 'STEM', 'Major']",6.437109773517437,1.9327057079397734,21.36003284202841,3.808439982125389
25,PLSRegression,"['High School', 'Reviewer', 'University', 'GPA', 'Major']",7.43242952273552,2.139764353430193,22.155208227974196,3.872744109184549
26,PLSRegression,"['High School', 'Weighted GPA', 'University', 'STEM', 'Major']",6.599763220528499,1.960171571187768,20.40613975086345,3.6924731294112987
27,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'University', 'Major']",7.430925074860814,2.11952887515604,21.1648574907402,3.777420481510163
28,PLSRegression,"['High School', 'Weighted GPA', 'University', 'GPA', 'Major']",7.143661946719232,2.1272498615010624,21.54643269932283,3.77483337567768
29,PLSRegression,"['GPA', 'STEM', 'Reviewer', 'Weighted GPA']",16.685671464797146,3.2196640555500893,17.518708334601698,3.5663416460349833
30,PLSRegression,"['GPA', 'STEM', 'Reviewer', 'Major']",16.164629854828284,3.1992680078296107,21.6863435791882,3.9698324726976275
31,PLSRegression,"['STEM', 'Reviewer', 'Major', 'Weighted GPA']",16.067070557700816,3.1689651420290974,20.848479281487705,3.8598836238643055
32,PLSRegression,"['GPA', 'STEM', 'Major', 'Weighted GPA']",15.457351777986805,3.1059509823851483,20.052519250372953,3.668864610749081
33,PLSRegression,"['GPA', 'Reviewer', 'Major', 'Weighted GPA']",16.70244556107908,3.2721768127621496,23.277478113003394,3.999695952455827
34,PLSRegression,"['GPA', 'STEM', 'Reviewer', 'University']",13.146591403000661,2.7482504631068467,21.853479606545324,4.016660649787947
35,PLSRegression,"['STEM', 'Reviewer', 'University', 'Weighted GPA']",12.442497769796615,2.680424328296543,20.015986819381745,3.8343800177610117
36,PLSRegression,"['GPA', 'STEM', 'University', 'Weighted GPA']",12.55048134376051,2.7679845866660173,20.55952809879435,3.7627942490881994
37,PLSRegression,"['GPA', 'Reviewer', 'University', 'Weighted GPA']",13.127684777765745,2.867577227616697,21.853898068068407,3.9400277015280833
38,PLSRegression,"['STEM', 'Reviewer', 'Major', 'University']",16.5998431841026,3.264936226278943,28.046935177295758,4.363954148777838
39,PLSRegression,"['GPA', 'STEM', 'Major', 'University']",11.657216404385718,2.596682413860175,25.32010953247402,4.200084590765565
40,PLSRegression,"['GPA', 'Reviewer', 'Major', 'University']",12.901052954131194,2.8113678525758776,26.45863837388632,4.391227817697909
41,PLSRegression,"['STEM', 'Major', 'University', 'Weighted GPA']",13.12928589454879,2.9013756654885783,20.896816607696497,3.802666066542667
42,PLSRegression,"['Reviewer', 'Major', 'University', 'Weighted GPA']",12.26312905117663,2.7085698661283595,23.924282528712656,4.146214540758879
43,PLSRegression,"['GPA', 'Major', 'University', 'Weighted GPA']",12.338541256284355,2.8061482883872393,24.516358582329858,4.1339078938309175
44,PLSRegression,"['GPA', 'STEM', 'Reviewer', 'High School']",8.270015644804399,2.1890701228729452,16.32870213428251,3.326212248395919
45,PLSRegression,"['STEM', 'Reviewer', 'High School', 'Weighted GPA']",8.475971088442217,2.2413555899896807,16.104888756355724,3.3391116207032585
46,PLSRegression,"['GPA', 'STEM', 'High School', 'Weighted GPA']",8.353939786866793,2.2652317646532643,16.935362229582417,3.3052651693620003
47,PLSRegression,"['GPA', 'Reviewer', 'High School', 'Weighted GPA']",8.730410623024719,2.325111960279617,17.703461958724354,3.363053986663899
48,PLSRegression,"['STEM', 'Reviewer', 'Major', 'High School']",8.639648121895757,2.3790415229551694,19.856208988863365,3.700447107850761
49,PLSRegression,"['GPA', 'STEM', 'Major', 'High School']",4.786288566991983,1.6552670630938493,22.048370526415646,3.5986229384096164
50,PLSRegression,"['GPA', 'Reviewer', 'Major', 'High School']",4.79515692585349,1.6238517526632297,23.083892292416134,3.7135017146749356
51,PLSRegression,"['STEM', 'High School', 'Major', 'Weighted GPA']",7.711617783743735,2.140233448117905,19.375504938293137,3.520690604955244
52,PLSRegression,"['Reviewer', 'High School', 'Major', 'Weighted GPA']",8.42461292974862,2.274418315922984,20.06820615035917,3.577768226941025
53,PLSRegression,"['GPA', 'High School', 'Major', 'Weighted GPA']",8.275889428729105,2.2978432323871294,20.91690221924249,3.594724878249336
54,PLSRegression,"['STEM', 'Reviewer', 'University', 'High School']",7.173723394843142,2.0609498470769574,19.598168827740103,3.7139975302144266
55,PLSRegression,"['GPA', 'STEM', 'University', 'High School']",6.281604386301039,1.9174035992255862,19.795341458807684,3.6590584145470757
56,PLSRegression,"['GPA', 'Reviewer', 'University', 'High School']",7.099473543640708,2.035976064279127,20.678535815057344,3.7354968913597157
57,PLSRegression,"['STEM', 'High School', 'University', 'Weighted GPA']",6.293220140104365,1.9353103580662434,19.02863276993857,3.5491296310144413
58,PLSRegression,"['Reviewer', 'High School', 'University', 'Weighted GPA']",6.980005528189764,2.01988061359144,19.83716398118002,3.6258144528785707
59,PLSRegression,"['GPA', 'High School', 'University', 'Weighted GPA']",6.907392547281466,2.070626956180892,20.376668282640306,3.648240652128809
