FacilityName,FacilityNameFull,City,END
Kenyon Woods Middle School,Kenyon Woods Middle School,South Elgin,
Kerkstra Elem School,Kerkstra Elem School,Oak Forest,
Kershaw Elem School,Kershaw Elem School,Chicago,
Keshet Day School,Keshet Day School,Northbrook,
Keshet Day School,Keshet Day School,Skokie,
Keshet Day School-Intensive,Keshet Day School-Intensive,Northbrook,
Keshet High School,Keshet High School,Skokie,
Keshet High School-Intensive,Keshet High School-Intensive,Skokie,
Keshet Transition Prg Int,Keshet Transition Prg Int,Skokie,
Keshet Transition Program,Keshet Transition Program,Skokie,
Kewanee CUSD 229,Kewanee CUSD 229,Kewanee,
Kewanee High School,Kewanee High School,Kewanee,
Keystone Montessori School,Keystone Montessori School,River Forest,
Kids Behavioral Health-Utah,Kids Behavioral Health-Utah,West Jordan,
Kids Station Inc,Kids Station Inc,Mokena,
KidsPeace National Centers Inc,KidsPeace National Centers Inc,Orefield,
KidsPeace-Orefield,KidsPeace-Orefield,Orefield,
Kidwatch Plus Inc,Kidwatch Plus Inc,Chicago,
Kiefer School,Kiefer School,Peoria,
Kiefer School - Madison,Kiefer School - Madison,Peoria,
Kiefer School - Madison-Intensive,Kiefer School - Madison-Intensive,Peoria,
Kildeer Countryside CCSD 96,Kildeer Countryside CCSD 96,Buffalo Grove,
Kildeer Countryside Elem School,Kildeer Countryside Elem School,Long Grove,
Kilmer Elem School,Kilmer Elem School,Chicago,
Kimball Hill Elem School,Kimball Hill Elem School,Rolling Meadows,
Kimball Middle School,Kimball Middle School,Elgin,
Kimberly Heights Elem School,Kimberly Heights Elem School,Tinley Park,
Kimes Elem School,Kimes Elem School,Streator,
Kindercare Learning Center,Kindercare Learning Center,Rockford,
Kindi Academy,Kindi Academy,Darien,
King Academy of Social Justice,King Academy of Social Justice,Chicago,
King College Prep High School,King College Prep High School,Chicago,
King Middle Grade School,King Middle Grade School,Kankakee,
King School,King School,Galesburg,
Kingdom Authority House of Grace Learning Cntr,Kingdom Authority House of Grace Learning Cntr,Rockford,
Kings Cons SD 144,Kings Cons SD 144,Kings,
Kings Daughters - Autism,Kings Daughters - Autism,Columbia,
Kings Daughters School,Kings Daughters School,Columbia,
Kings Elementary School,Kings Elementary School,Kings,
Kingsley Elem School,Kingsley Elem School,Downers Grove,
Kingsley Elementary School,Kingsley Elementary School,Evanston,
Kingsley Elementary School,Kingsley Elementary School,Naperville,
Kingsley Jr High School,Kingsley Jr High School,Normal,
Kingston Elementary School,Kingston Elementary School,Kingston,
Kingsway Preparatory School,Kingsway Preparatory School,Evanston,
Kingswood,Kingswood,Urbana,
Kingswood Academy,Kingswood Academy,Darien,
Kinnikinnick CCSD 131,Kinnikinnick CCSD 131,Roscoe,
Kinnikinnick School,Kinnikinnick School,Roscoe,
Kinzie Elem School,Kinzie Elem School,Chicago,
Kipling Elem School,Kipling Elem School,Chicago,
Kipling Elem School,Kipling Elem School,Deerfield,
KIPP Academy Chicago Campus,KIPP Academy Chicago Campus,Chicago,
KIPP Chicago Charter School - KIPP One Academy,KIPP Chicago Charter School - KIPP One Academy,Chicago,
KIPP Chicago Charters - Ascend Academy,KIPP Chicago Charters - Ascend Academy,Chicago,
KIPP Chicago Charters - Bloom Campus,KIPP Chicago Charters - Bloom Campus,Chicago,
Kirby SD 140,Kirby SD 140,Tinley Park,
Kirk School,Kirk School,Palatine,
Kishwaukee Educ Consortium,Kishwaukee Educ Consortium,Malta,
Knox Co Mary Davis Detention Home,Knox Co Mary Davis Detention Home,Galesburg,
Knox Warren Special Education Districts,Knox Warren Special Education Districts,Galesburg,
Knoxville Center for Student Success,Knoxville Center for Student Success,Peoria,
Knoxville Cntr Student Success,Knoxville Cntr Student Success,Peoria,
Knoxville CUSD 202,Knoxville CUSD 202,Knoxville,
Knoxville Jr High School,Knoxville Jr High School,Knoxville,
Knoxville Safe School Program,Knoxville Safe School Program,Peoria,
Knoxville Sr High School,Knoxville Sr High School,Knoxville,
Knox-Warren SpEd Multi-Needs Program,Knox-Warren SpEd Multi-Needs Program,Galesburg,
Kolmar Avenue Elem School,Kolmar Avenue Elem School,Oak Lawn,
Kolmar Elem School,Kolmar Elem School,Midlothian,
Komarek Elem School,Komarek Elem School,North Riverside,
Komarek SD 94,Komarek SD 94,North Riverside,
Komensky Elem School,Komensky Elem School,Berwyn,
Koraes Elementary School,Koraes Elementary School,Palos Hills,
Kozminski Elem Community Academy,Kozminski Elem Community Academy,Chicago,
Kreitner Elem School,Kreitner Elem School,Collinsville,
Krejci Academy/The Mansion,Krejci Academy/The Mansion,Naperville,
Kripa Montessori Sch H E,Kripa Montessori Sch H E,Hoffman Estates,
Kripa Montessori School,Kripa Montessori School,Bartlett,
L' Abris Academy,L' Abris Academy,Aledo,
L D Brady Elem School,L D Brady Elem School,Aurora,
L E Starke Elem School,L E Starke Elem School,Pekin,
L J Hauser Jr High School,L J Hauser Jr High School,Riverside,
L J Stevens Intermediate School,L J Stevens Intermediate School,Wilmington,
L W C Academy,L W C Academy,Kankakee,
La Europa Academy,La Europa Academy,Salt Lake City,
La Europa Academy,La Europa Academy,Salt Lake Cty,
La Grange SD 102,La Grange SD 102,La Grange Park,
La Grange SD 105 South,La Grange SD 105 South,La Grange,
La Harpe CSD 347,La Harpe CSD 347,La Harpe,
La Harpe Elementary School,La Harpe Elementary School,La Harpe,
La Harpe Junior High School,La Harpe Junior High School,La Harpe,
La Moille CUSD 303,La Moille CUSD 303,La Moille,
La Moille High School,La Moille High School,La Moille,
La Salle ESD 122,La Salle ESD 122,La Salle,
La Salle/Marshall/Putnam ROE,La Salle/Marshall/Putnam ROE,Ottawa,
La Salle-Peru Area Career Ctr,La Salle-Peru Area Career Ctr,Peru,
La Salle-Peru Twp High School,La Salle-Peru Twp High School,La Salle,
La Salle-Peru Twp HSD 120,La Salle-Peru Twp HSD 120,La Salle,
Lace Elem School,Lace Elem School,Darien,
Lad Lake,Lad Lake,Dousman,
Lad Lake-Special,Lad Lake-Special,Dousman,
Ladd CCSD 94,Ladd CCSD 94,Ladd,
Ladd Comm Cons Sch,Ladd Comm Cons Sch,Ladd,
Ladse Learning Center,Ladse Learning Center,La Grange,
LADSE-Comm Develop,LADSE-Comm Develop,La Grange,
LADSE-DHH Transition Cntr,LADSE-DHH Transition Cntr,LaGrange,
LADSE-DHH-Hinsdale South HS,LADSE-DHH-Hinsdale South HS,Darien,
LADSE-ECSE,LADSE-ECSE,La Grange,
LADSE-Emotional Disabilities,LADSE-Emotional Disabilities,La Grange,
LADSE-Multineeds,LADSE-Multineeds,La Grange,
LADSE-Phonological Program,LADSE-Phonological Program,La Grange,
LADSE-Project Search,LADSE-Project Search,La Grange,
Lagrange Area Dept Spec Ed-Ladse,Lagrange Area Dept Spec Ed-Ladse,La Grange,
LaGrange Highlands SD 106,LaGrange Highlands SD 106,La Grange Highlands,
Lahr-Well Academy,Lahr-Well Academy,Edwardsville,
Lake Bluff Elem Sch,Lake Bluff Elem Sch,Lake Bluff,
Lake Bluff ESD 65,Lake Bluff ESD 65,Lake Bluff,
Lake Bluff Middle School,Lake Bluff Middle School,Lake Bluff,
Lake Co Collaborative Alop,Lake Co Collaborative Alop,Grayslake,
Lake Co High Schools Tech Campus,Lake Co High Schools Tech Campus,Grayslake,
Lake Co Hulse Detention Center 6-8,Lake Co Hulse Detention Center 6-8,Vernon Hills,
Lake Co Hulse Detention Center 9-12,Lake Co Hulse Detention Center 9-12,Vernon Hills,
Lake County Area Voc System,Lake County Area Voc System,Grayslake,
Lake County Baptist School,Lake County Baptist School,Waukegan,
Lake County Plus Program,Lake County Plus Program,Mundelein,
Lake Crest Elem School,Lake Crest Elem School,Oakland,
Lake Forest Academy,Lake Forest Academy,Lake Forest,
Lake Forest CHSD 115,Lake Forest CHSD 115,Lake Forest,
Lake Forest Country Day School,Lake Forest Country Day School,Lake Forest,
Lake Forest High School,Lake Forest High School,Lake Forest,
Lake Forest SD 67,Lake Forest SD 67,Lake Forest,
Lake in the Hills Elem School,Lake in the Hills Elem School,Lake in the Hills,
Lake Louise Elem School,Lake Louise Elem School,Palatine,
Lake Park CHSD 108,Lake Park CHSD 108,Roselle,
Lake Park Elem School,Lake Park Elem School,Addison,
Lake Park High School,Lake Park High School,Roselle,
Lake ROE,Lake ROE,Grayslake,
Lake Shore School,Lake Shore School,Chicago,
Lake View Academy,Lake View Academy,Chicago,
Lake View High School,Lake View High School,Chicago,
Lake Villa CCSD 41,Lake Villa CCSD 41,Lake Villa,
Lake Zurich CUSD 95,Lake Zurich CUSD 95,Lake Zurich,
Lake Zurich High School,Lake Zurich High School,Lake Zurich,
Lake Zurich Middle - N Campus,Lake Zurich Middle - N Campus,Hawthorn Woods,
Lake Zurich Middle - S Campus,Lake Zurich Middle - S Campus,Lake Zurich,
Lakemary 1:1 Support 16,Lakemary 1:1 Support 16,Paola,
Lakemary 1:1 Support 24,Lakemary 1:1 Support 24,Paola,
Lakemary Center Inc,Lakemary Center Inc,Paola,
Lakemary Center Inc.,Lakemary Center Inc.,Paola,
Lakemary Enhanced,Lakemary Enhanced,Paola,
Lakemary Intensive,Lakemary Intensive,Paola,
Lakes Community High School,Lakes Community High School,Lake Villa,
Laketown Elem School,Laketown Elem School,Springfield,
Lakeview Elem School,Lakeview Elem School,Hoffman Estates,
Lakeview Jr High School,Lakeview Jr High School,Downers Grove,
Lakeview Rehabilitation Center,Lakeview Rehabilitation Center,Waterford,
Lakeview School,Lakeview School,Zion,
Lakewood Creek Elementary,Lakewood Creek Elementary,Montgomery,
Lakewood Falls Elem School,Lakewood Falls Elem School,Plainfield,
Lakewood School,Lakewood School,Carpentersville,
Lalumier Elem School,Lalumier Elem School,Centreville,
Lancaster Christian School,Lancaster Christian School,Mount Carmel,
Landmark Christian Academy,Landmark Christian Academy,Palos Heights,
Landmark Elem School,Landmark Elem School,McHenry,
Lane Elem School,Lane Elem School,Alsip,
Lane Tech College Prep,Lane Tech College Prep,Chicago,
Lane Tech College Prep High School,Lane Tech College Prep High School,Chicago,
Lane Technical High School,Lane Technical High School,Chicago,
Langford A Elem School,Langford A Elem School,Chicago,
Lanphier High School,Lanphier High School,Springfield,
Lansing Christian School,Lansing Christian School,Lansing,
Lansing SD 158,Lansing SD 158,Lansing,
Lara Elem Academy,Lara Elem Academy,Chicago,
Laraway CCSD 70C,Laraway CCSD 70C,Joliet,
Laraway School,Laraway School,Joliet,
Laremont School,Laremont School,Gages Lake,
Laren Montessori,Laren Montessori,South Holland,
Larkin Center,Larkin Center,Elgin,
Larkin Center School,Larkin Center School,Chicago,
Larkin High School,Larkin High School,Elgin,
Larsen Middle School,Larsen Middle School,Elgin,
LaSalle Co Detention Center 6-8,LaSalle Co Detention Center 6-8,Ottawa,
LaSalle Co Detention Center 9-12,LaSalle Co Detention Center 9-12,Ottawa,
LaSalle Elem Language Academy,LaSalle Elem Language Academy,Chicago,
LaSalle Elem School,LaSalle Elem School,Creve Coeur,
LaSalle II Lang Acad Elem Sch,LaSalle II Lang Acad Elem Sch,Chicago,
LaSalle Putnam Alliance,LaSalle Putnam Alliance,Ottawa,
LaSalle-Peru Christian School,LaSalle-Peru Christian School,La Salle,
LASEC Academy,LASEC Academy,Lockport,
LASEC-CAD Program,LASEC-CAD Program,Lockport,
LASEC-Communication Dev Program,LASEC-Communication Dev Program,Crest Hill,
LASEC-EC,LASEC-EC,Crest Hill,
LASSO-Erickson Elem-Bloomingdale Dist 13,LASSO-Erickson Elem-Bloomingdale Dist 13,Bloomingdale,
LASSO-Medinah Primary Sch-Medinah SD 11,LASSO-Medinah Primary Sch-Medinah SD 11,Medinah,
LASSO-Spring Hills Sch-Roselle SD 12,LASSO-Spring Hills Sch-Roselle SD 12,Roselle,
LASSO-Tioga Elem Sch-Bensenville SD 2,LASSO-Tioga Elem Sch-Bensenville SD 2,Bensenville,
"Latham Centers, Inc. ","Latham Centers, Inc. ",Brewster,
"Latham Centers, Inc. - EDU ","Latham Centers, Inc. - EDU ",Brewster,
"Latham Centers, Inc. - RES ","Latham Centers, Inc. - RES ",Brewster,
Latin School of Chicago Lower,Latin School of Chicago Lower,Chicago,
Latin School of Chicago Upper,Latin School of Chicago Upper,Chicago,
Latino Youth High School,Latino Youth High School,Chicago,
Laura B Sprague School,Laura B Sprague School,Lincolnshire,
Laureate Day School,Laureate Day School,Arlington Heights,
Laureate Day School - INT,Laureate Day School - INT,Arlington Hts,
Laureate Day School Ext,Laureate Day School Ext,Arlington Heights,
Laurel Hill Elem School,Laurel Hill Elem School,Hanover Park,
Laverna Evans Elem School,Laverna Evans Elem School,O Fallon,
Lavizzo Elem School,Lavizzo Elem School,Chicago,
Lawn Manor School,Lawn Manor School,Oak Lawn,
Lawndale Elem Community Academy,Lawndale Elem Community Academy,Chicago,
Lawrence County CUD 20,Lawrence County CUD 20,Lawrenceville,
Lawrence Education Center,Lawrence Education Center,Springfield,
Lawrence Hall Youth Services,Lawrence Hall Youth Services,Chicago,
Lawrence Hall-Ashland,Lawrence Hall-Ashland,Chicago,
Lawrence Hall-Institutional,Lawrence Hall-Institutional,Chicago,
Lawrenceville High School,Lawrenceville High School,Lawrenceville,
Leal Elem School,Leal Elem School,Urbana,
LEARN 10 Charter School,LEARN 10 Charter School,North Chicago,
LEARN Charter 9 Campus in Waukegan,LEARN Charter 9 Campus in Waukegan,Waukegan,
LEARN Charter Excel Campus,LEARN Charter Excel Campus,Chicago,
LEARN Charter Sch 6 North Chicago Campus,LEARN Charter Sch 6 North Chicago Campus,Great Lakes,
LEARN Chtr - Hunter Perkins Campus,LEARN Chtr - Hunter Perkins Campus,Chicago,
LEARN Chtr - 7th Campus,LEARN Chtr - 7th Campus,Chicago,
LEARN Chtr - Butler,LEARN Chtr - Butler,Chicago,
LEARN Chtr - Middle School,LEARN Chtr - Middle School,Chicago,
LEARN Chtr - South Chicago Campus,LEARN Chtr - South Chicago Campus,Chicago,
LEARN Chtr-Campbell Campus,LEARN Chtr-Campbell Campus,Chicago,
Lebanon CUSD 9,Lebanon CUSD 9,Lebanon,
Lebanon Elem School,Lebanon Elem School,Lebanon,
Lebanon High School,Lebanon High School,Lebanon,
LeClaire Elem School,LeClaire Elem School,Edwardsville,
Ledgewood Elem School,Ledgewood Elem School,Roscoe,
Lee County Spec Educ Assoc,Lee County Spec Educ Assoc,Dixon,
Lee Cty SpEd-ECE,Lee Cty SpEd-ECE,Dixon,
Lee Cty SpEd-Life Skills (2-5 Grade),Lee Cty SpEd-Life Skills (2-5 Grade),Dixon,
Lee Cty SpEd-Life Skills (9-12 Grades),Lee Cty SpEd-Life Skills (9-12 Grades),Dixon,
Lee Cty SpEd-Transitions,Lee Cty SpEd-Transitions,Dixon,
Lee Elem School,Lee Elem School,Chicago,
Lee R Foster Elem School,Lee R Foster Elem School,Oak Forest,
Lee/Ogle/Whiteside ROE,Lee/Ogle/Whiteside ROE,Sterling,
Legacy Acad of Excellence Charter Sch,Legacy Acad of Excellence Charter Sch,Rockford,
Legacy Christian Academy,Legacy Christian Academy,Caseyville,
Legacy Connections Vocational School,Legacy Connections Vocational School,Chicago,
Legacy Elem Charter School,Legacy Elem Charter School,Chicago,
Legal Prep Academy Charter HS,Legal Prep Academy Charter HS,Chicago,
Leggee Elementary School,Leggee Elementary School,Huntley,
Leland CUSD 1,Leland CUSD 1,Leland,
Leland Elem School,Leland Elem School,Chicago,
Leland Elem School,Leland Elem School,Leland,
Leland High School,Leland High School,Leland,
Leman Middle School,Leman Middle School,West Chicago,
Lemont Twp High School,Lemont Twp High School,Lemont,
Lemont Twp HSD 210,Lemont Twp HSD 210,Lemont,
Lemont-Bromberek CSD 113A,Lemont-Bromberek CSD 113A,Lemont,
Lena Winslow CUSD 202,Lena Winslow CUSD 202,Lena,
Lenart Elem Regional Gifted Ctr,Lenart Elem Regional Gifted Ctr,Chicago,
Lena-Winslow Elem School,Lena-Winslow Elem School,Lena,
Lena-Winslow High School,Lena-Winslow High School,Lena,
Lena-Winslow Jr High School,Lena-Winslow Jr High School,Lena,
LEO CATHOLIC HIGH SCHOOL,LEO CATHOLIC HIGH SCHOOL,CHICAGO,
Leo High School,Leo High School,Chicago,
Lerna Bridges,Lerna Bridges,Lerna,
LeRoy CUSD 2,LeRoy CUSD 2,Le Roy,
LeRoy Elementary School,LeRoy Elementary School,Le Roy,
LeRoy High School,LeRoy High School,Le Roy,
LeRoy Junior High School,LeRoy Junior High School,Le Roy,
Leslie Shankman School Corp,Leslie Shankman School Corp,Chicago,
Lester and Rosalie Anixter Center,Lester and Rosalie Anixter Center,Chicago,
Lester Crawl Primary Ctr,Lester Crawl Primary Ctr,Lansing,
Lester Elem School,Lester Elem School,Downers Grove,
Lettie Brown Elementary School,Lettie Brown Elementary School,Morton,
Lewis & Clark Elem School,Lewis & Clark Elem School,Godfrey,
Lewis Elem School,Lewis Elem School,Chicago,
Lewis Lemon Elementary,Lewis Lemon Elementary,Rockford,
Lewis School,Lewis School,Carbondale,
Lewis-Clark Elem School,Lewis-Clark Elem School,Wood River,
Lewis-Clark Jr High School,Lewis-Clark Jr High School,Wood River,
Lewistown CUSD 97,Lewistown CUSD 97,Lewistown,
Lewistown Jr/Sr High School,Lewistown Jr/Sr High School,Lewistown,
Lexington CUSD 7,Lexington CUSD 7,Lexington,
Lexington Elem School,Lexington Elem School,Lexington,
Lexington High School,Lexington High School,Lexington,
Lexington Jr High School,Lexington Jr High School,Lexington,
Leyden Area Spec Educ Coop,Leyden Area Spec Educ Coop,Franklin Park,
Leyden CHSD 212,Leyden CHSD 212,Franklin Park,
LHTBM School of The Saints,LHTBM School of The Saints,Lemont,
Liahona Academy,Liahona Academy,Virgin,
Libby Elem School,Libby Elem School,Chicago,
Liberty CUSD 2,Liberty CUSD 2,Liberty,
Liberty Elem School,Liberty Elem School,Cicero,
Liberty Elem School,Liberty Elem School,Orland Park,
Liberty Elem School,Liberty Elem School,Bartlett,
Liberty Elem School,Liberty Elem School,Danville,
Liberty Elementary School,Liberty Elementary School,Liberty,
Liberty Elementary School,Liberty Elementary School,Carpentersville,
Liberty Elementary School,Liberty Elementary School,Bolingbrook,
Liberty High School,Liberty High School,Liberty,
Liberty Intermediate School,Liberty Intermediate School,Bourbonnais,
Liberty Junior High School,Liberty Junior High School,Burbank,
Liberty Junior High School,Liberty Junior High School,New Lenox,
Liberty Middle School,Liberty Middle School,Edwardsville,
Liberty School of Christrian Educ,Liberty School of Christrian Educ,Chicago,
Libertyville High School,Libertyville High School,Libertyville,
Libertyville Montessori,Libertyville Montessori,Mundelein,
Libertyville SD 70,Libertyville SD 70,Libertyville,
Lick Creek CCSD 16,Lick Creek CCSD 16,Buncombe,
Lick Creek Elem School,Lick Creek Elem School,Buncombe,
LIFE (Learning in Functional Environments),LIFE (Learning in Functional Environments),Jacksonville,
LIFE Academy,LIFE Academy,Mattoon,
Life Skills Train Cntr-Autism,Life Skills Train Cntr-Autism,Glen Ellyn,
Lighted Way Association,Lighted Way Association,La Salle,
Lighted Way Association - Int,Lighted Way Association - Int,La Salle,
Lighted Way Association Inc,Lighted Way Association Inc,La Salle,
Lighthouse Christian Academy,Lighthouse Christian Academy,Lansing,
Lighthouse Christian Academy,Lighthouse Christian Academy,Wilmington,
Lil Miracles Childrens Center,Lil Miracles Childrens Center,Bolingbrook,
Lily Lake Grade School,Lily Lake Grade School,Maple Park,
Limestone CHSD 310,Limestone CHSD 310,Peoria,
Limestone Community High School,Limestone Community High School,Peoria,
Limestone Middle Sch,Limestone Middle Sch,Kankakee,
Limestone Walters CCSD 316,Limestone Walters CCSD 316,Peoria,
Limestone Walters Elem School,Limestone Walters Elem School,Peoria,
Lincoln Academy,Lincoln Academy,Roselle,
Lincoln Attendance Center,Lincoln Attendance Center,Carmi,
Lincoln CHSD 404,Lincoln CHSD 404,Lincoln,
Lincoln Cltrl Ctr-Montessori Elem,Lincoln Cltrl Ctr-Montessori Elem,Kankakee,
Lincoln Comm High School,Lincoln Comm High School,Lincoln,
Lincoln Early Childhood School,Lincoln Early Childhood School,Monmouth,
Lincoln Elem School,Lincoln Elem School,Jacksonville,
Lincoln Elem School,Lincoln Elem School,Pana,
Lincoln Elem School,Lincoln Elem School,Belvidere,
Lincoln Elem School,Lincoln Elem School,Evanston,
Lincoln Elem School,Lincoln Elem School,Maywood,
Lincoln Elem School,Lincoln Elem School,River Forest,
Lincoln Elem School,Lincoln Elem School,Brookfield,
Lincoln Elem School,Lincoln Elem School,Blue Island,
Lincoln Elem School,Lincoln Elem School,Dixmoor,
Lincoln Elem School,Lincoln Elem School,Calumet City,
Lincoln Elem School,Lincoln Elem School,Chicago Heights,
Lincoln Elem School,Lincoln Elem School,Chicago,
Lincoln Elem School,Lincoln Elem School,Clinton,
Lincoln Elem School,Lincoln Elem School,Addison,
Lincoln Elem School,Lincoln Elem School,Wheaton,
Lincoln Elem School,Lincoln Elem School,Elmhurst,
Lincoln Elem School,Lincoln Elem School,Pittsburg,
Lincoln Elem School,Lincoln Elem School,Marion,
Lincoln Elem School,Lincoln Elem School,Macomb,
Lincoln Elem School,Lincoln Elem School,Princeton,
Lincoln Elem School,Lincoln Elem School,Anna,
Lincoln Elem School,Lincoln Elem School,Saint Charles,
Lincoln Elem School,Lincoln Elem School,Mundelein,
Lincoln Elem School,Lincoln Elem School,Oglesby,
Lincoln Elem School,Lincoln Elem School,Ottawa,
Lincoln Elem School,Lincoln Elem School,Mendota,
Lincoln Elem School,Lincoln Elem School,Monticello,
Lincoln Elem School,Lincoln Elem School,Rochelle,
Lincoln Elem School,Lincoln Elem School,Sterling,
Lincoln Elem School,Lincoln Elem School,East Peoria,
Lincoln Elem School,Lincoln Elem School,Morton,
Lincoln Elementary,Lincoln Elementary,Plainfield,
Lincoln Elementary School,Lincoln Elementary School,Palatine,
Lincoln Elementary School,Lincoln Elementary School,Bellwood,
Lincoln Elementary School,Lincoln Elementary School,Dolton,
Lincoln Elementary School,Lincoln Elementary School,Robinson,
Lincoln Elementary School,Lincoln Elementary School,DeKalb,
Lincoln Elementary School,Lincoln Elementary School,Pontiac,
Lincoln Elementary School,Lincoln Elementary School,Canton,
Lincoln Elementary School,Lincoln Elementary School,Hoffman Estates,
Lincoln ESD 156,Lincoln ESD 156,Calumet City,
Lincoln ESD 27,Lincoln ESD 27,Lincoln,
Lincoln Grade School,Lincoln Grade School,Washington,
Lincoln Hall Middle School,Lincoln Hall Middle School,Lincolnwood,
Lincoln Jr High School,Lincoln Jr High School,Skokie,
Lincoln Jr High School,Lincoln Jr High School,Lincoln,
Lincoln Jr High School,Lincoln Jr High School,Naperville,
Lincoln Jr High School,Lincoln Jr High School,La Salle,
Lincoln Junior High School,Lincoln Junior High School,Dolton,
Lincoln Magnet School,Lincoln Magnet School,Springfield,
Lincoln Middle School,Lincoln Middle School,Mount Prospect,
Lincoln Middle School,Lincoln Middle School,Park Ridge,
Lincoln Middle School,Lincoln Middle School,Schiller Park,
Lincoln Middle School,Lincoln Middle School,Berwyn,
Lincoln Middle School,Lincoln Middle School,Edwardsville,
Lincoln Park High School,Lincoln Park High School,Chicago,
Lincoln Prairie Elem School,Lincoln Prairie Elem School,Lake In The Hills,
Lincoln Prairie School,Lincoln Prairie School,Hoffman Estates,
Lincoln School,Lincoln School,Mundelein,
Lincoln School,Lincoln School,Peoria,
Lincoln School ALOP,Lincoln School ALOP,Joliet,
Lincoln School RSSP,Lincoln School RSSP,Joliet,
Lincoln School TAOEP,Lincoln School TAOEP,Joliet,
Lincoln Trail Elem School,Lincoln Trail Elem School,Mahomet,
Lincoln Way CHSD 210,Lincoln Way CHSD 210,New Lenox,
Lincoln Way West,Lincoln Way West,New Lenox,
Lincoln-Douglas Elementary School,Lincoln-Douglas Elementary School,Quincy,
Lincoln-Douglas Elementary School,Lincoln-Douglas Elementary School,Freeport,
Lincoln-Irving Elem School,Lincoln-Irving Elem School,Moline,
Lincolnland Reg Del System,Lincolnland Reg Del System,Lincoln,
Lincolnland Technical Ed Ctr,Lincolnland Technical Ed Ctr,Lincoln,
Lincolnshire-Prairieview SD 103,Lincolnshire-Prairieview SD 103,Lincolnshire,
Lincoln-Way Area Spec Ed JA Dist,Lincoln-Way Area Spec Ed JA Dist,Frankfort,
Lincoln-Way Central High School,Lincoln-Way Central High School,New Lenox,
Lincoln-Way East High School,Lincoln-Way East High School,Frankfort,
Lincolnwood Elem School,Lincolnwood Elem School,Evanston,
Lincolnwood High School,Lincolnwood High School,Raymond,
Lincolnwood Jr High School,Lincolnwood Jr High School,Raymond,
Lincolnwood SD 74,Lincolnwood SD 74,Lincolnwood,
Lindblom Math & Science Acad HS,Lindblom Math & Science Acad HS,Chicago,
Lindblom Math & Science Academy,Lindblom Math & Science Academy,Chicago,
Lindenhurst Early Childhood Ctr,Lindenhurst Early Childhood Ctr,Lindenhurst,
Lindop Elem School,Lindop Elem School,Broadview,
Lindop SD 92,Lindop SD 92,Broadview,
Lindsay School,Lindsay School,Springfield,
Linne Elem School,Linne Elem School,Chicago,
Lions Math & Science Christian,Lions Math & Science Christian,Waukegan,
Lions Park Elem School,Lions Park Elem School,Mt Prospect,
Lisbon CCSD 90,Lisbon CCSD 90,Newark,
Lisbon Grade School,Lisbon Grade School,Newark,
Lisle CUSD 202,Lisle CUSD 202,Lisle,
Lisle Elementary School,Lisle Elementary School,Lisle,
Lisle High School,Lisle High School,Lisle,
Lisle Jr High School,Lisle Jr High School,Lisle,
Litchfield CUSD 12,Litchfield CUSD 12,Litchfield,
Litchfield Middle School,Litchfield Middle School,Litchfield,
Litchfield Prekindergarten,Litchfield Prekindergarten,Litchfield,
Litchfield Senior High School,Litchfield Senior High School,Litchfield,
Little Angels,Little Angels,Chicago,
Little Black Pearl Arts Acad HS,Little Black Pearl Arts Acad HS,Chicago,
Little Blossom Montessori School,Little Blossom Montessori School,Aurora,
Little City Foundation,Little City Foundation,Palatine,
Little Explorers Montessori,Little Explorers Montessori,Romeoville,
Little Flower School,Little Flower School,Springfield,
Little Fort Elem School,Little Fort Elem School,Waukegan,
Little Friends,Little Friends,Naperville,
Little Friends Learning Center,Little Friends Learning Center,Peoria,
Little Friends-Bridge High School,Little Friends-Bridge High School,Naperville,
Little Friends-Bridge-Intensive,Little Friends-Bridge-Intensive,Naperville,
Little Friends-Krejci/Mansion,Little Friends-Krejci/Mansion,Downers Grove,
Little Friends-Krejci-Intensive,Little Friends-Krejci-Intensive,Naperville,
Little Hands Learning Center,Little Hands Learning Center,Chicago,
Little Keswick School,Little Keswick School,Keswick,
Little Saints of God Academy,Little Saints of God Academy,Bolingbrook,
Little Scholars Christian Academy,Little Scholars Christian Academy,Tinley Park,
Little Village Elem School,Little Village Elem School,Chicago,
Littlejohn Elem School,Littlejohn Elem School,DeKalb,
Living Free Center,Living Free Center,Chicago,
Living Hope Flwshp Christian Sch,Living Hope Flwshp Christian Sch,Grand Chain,
Livingston Area Career Cntr,Livingston Area Career Cntr,Pontiac,
Livingston Area Educ for Employ,Livingston Area Educ for Employ,Pontiac,
Livingston Co Crossroads Academy,Livingston Co Crossroads Academy,Flanagan,
Livingston Co Spec Services Unit,Livingston Co Spec Services Unit,Flanagan,
Livingston County Academy,Livingston County Academy,Flanagan,
Lloyd Elem School,Lloyd Elem School,Chicago,
LMP ROE,LMP ROE,Peru,
LMP ROE TAOEP,LMP ROE TAOEP,Ottawa,
Locke J Elem School,Locke J Elem School,Chicago,
Locke A Elem Charter Academy,Locke A Elem Charter Academy,Chicago,
Lockport Area Spec Educ Coop,Lockport Area Spec Educ Coop,Lockport,
Lockport SD 91,Lockport SD 91,Lockport,
Lockport Township High Sch East,Lockport Township High Sch East,Lockport,
Lockport Twp HSD 205,Lockport Twp HSD 205,Lockport,
Locust Elem School,Locust Elem School,Marengo,
