FacilityName,FacilityNameFull,City,END
AlWood Middle/High School,AlWood Middle/High School,Woodhull,
AlWood CUSD 225,AlWood CUSD 225,Woodhull,
AlWood Elem School,AlWood Elem School,Alpha,
Alxndr/Jcksn/Pulsk/Prry/Union ROE,Alxndr/Jcksn/Pulsk/Prry/Union ROE,Murphysboro,
Amandla Charter School,Amandla Charter School,Chicago,
Amboy Central Elem School,Amboy Central Elem School,Amboy,
Amboy CUSD 272,Amboy CUSD 272,Amboy,
Amboy High School,Amboy High School,Amboy,
Amboy Jr High School,Amboy Jr High School,Amboy,
Amelia V Carriel Jr High,Amelia V Carriel Jr High,O Fallon,
American School,American School,Lansing,
Americana Intermediate School,Americana Intermediate School,Glendale Heights,
Amos Alonzo Stagg High School,Amos Alonzo Stagg High School,Palos Hills,
Amundsen High School,Amundsen High School,Chicago,
Ancona School Society Inc,Ancona School Society Inc,Chicago,
Andalusia Elem School,Andalusia Elem School,Andalusia,
Anderson Elem School,Anderson Elem School,Saint Charles,
Andrew Cooke Magnet Elem School,Andrew Cooke Magnet Elem School,Waukegan,
Angel Outreach Inc,Angel Outreach Inc,North Aurora,
Ann Reid Early Childhood Center,Ann Reid Early Childhood Center,Naperville,
Anna CCSD 37,Anna CCSD 37,Anna,
Anna Jonesboro CHSD 81,Anna Jonesboro CHSD 81,Anna,
Anna Junior High School,Anna Junior High School,Anna,
Anna McDonald Elem School,Anna McDonald Elem School,Manhattan,
Anna-Jonesboro High School,Anna-Jonesboro High School,Anna,
Annawan CUSD 226,Annawan CUSD 226,Annawan,
Annawan Grade School,Annawan Grade School,Annawan,
Annawan High School,Annawan High School,Annawan,
Anne Fox Elem School,Anne Fox Elem School,Hanover Park,
Anne M Jeans Elem School,Anne M Jeans Elem School,Willowbrook,
Anne Sullivan Elem School,Anne Sullivan Elem School,Prospect Heights,
Annette Officer Elementary,Annette Officer Elementary,East Saint Louis,
Annunciata School,Annunciata School,Chicago,
Annunciation,Annunciation,Aurora,
Another Chance Learning Center,Another Chance Learning Center,Chicago,
Antioch CCSD 34,Antioch CCSD 34,Antioch,
Antioch Christian Academy,Antioch Christian Academy,Decatur,
Antioch Comm High School,Antioch Comm High School,Antioch,
Antioch Upper Grade School,Antioch Upper Grade School,Antioch,
Aplington Middle School,Aplington Middle School,Polo,
Apollo Elem School,Apollo Elem School,Des Plaines,
Apollo Elem School,Apollo Elem School,Aledo,
Apostolic Kingdom,Apostolic Kingdom,South Holland,
Apostolic Learning Academy,Apostolic Learning Academy,Dupo,
Aptakisic Junior High School,Aptakisic Junior High School,Buffalo Grove,
Aptakisic-Tripp CCSD 102,Aptakisic-Tripp CCSD 102,Buffalo Grove,
Aqsa School,Aqsa School,Bridgeview,
Aquin Catholic Jr-Sr High School,Aquin Catholic Jr-Sr High School,Freeport,
Aquin Elementary Campus,Aquin Elementary Campus,Freeport,
Aquinas Academy,Aquinas Academy,Hometown,
Arbor Academy,Arbor Academy,Highland Park,
Arbor Park Middle School,Arbor Park Middle School,Oak Forest,
Arbor Park SD 145,Arbor Park SD 145,Oak Forest,
Arbor View Elem School,Arbor View Elem School,Glen Ellyn,
Arbury Hills Elem School,Arbury Hills Elem School,Mokena,
ARC,ARC,Jacksonville,
Arcadia Elem School,Arcadia Elem School,Olympia Fields,
Arcola CUSD 306,Arcola CUSD 306,Arcola,
Arcola Elementary School,Arcola Elementary School,Arcola,
Arcola High School,Arcola High School,Arcola,
Ardmore Elem School,Ardmore Elem School,Addison,
Ardmore Elem School,Ardmore Elem School,Villa Park,
Argenta-Oreana CUSD 1,Argenta-Oreana CUSD 1,Argenta,
Argenta-Oreana Elementary School,Argenta-Oreana Elementary School,Oreana,
Argenta-Oreana High School,Argenta-Oreana High School,Argenta,
Argenta-Oreana Middle School,Argenta-Oreana Middle School,Argenta,
Argo CHSD 217,Argo CHSD 217,Summit,
Argo Community High School,Argo Community High School,Summit,
Arie Crown Hebrew Day School,Arie Crown Hebrew Day School,Skokie,
Ariel Elem Community Academy,Ariel Elem Community Academy,Chicago,
Arland D Williams Jr Elem Sch,Arland D Williams Jr Elem Sch,Mattoon,
Arlene Welch Elementary School,Arlene Welch Elementary School,Naperville,
Arlington Heights SD 25,Arlington Heights SD 25,Arlington Heights,
Arlington Montessori Sch,Arlington Montessori Sch,Arlington Heights,
Arlyn Day School,Arlyn Day School,Highland Park,
Arlyn Day School - Extended,Arlyn Day School - Extended,Highland Park,
Arlyn Transition Program,Arlyn Transition Program,Highland Park,
Arlyn Transition Program Int,Arlyn Transition Program Int,Highland Park,
Armour Elem School,Armour Elem School,Chicago,
Armstrong G Elem IntL Studies,Armstrong G Elem IntL Studies,Chicago,
Armstrong High School,Armstrong High School,Armstrong,
Armstrong Twp HSD 225,Armstrong Twp HSD 225,Armstrong,
Armstrong-Ellis Cons SD 61,Armstrong-Ellis Cons SD 61,Armstrong,
Armstrong-Ellis Elem School,Armstrong-Ellis Elem School,Armstrong,
Armstrong-Oakview Elem School,Armstrong-Oakview Elem School,East Peoria,
Army Trail Elem School,Army Trail Elem School,Addison,
Arnett C Lines Elem School,Arnett C Lines Elem School,Barrington,
Arnold J Tyler School,Arnold J Tyler School,New Lenox,
Arnold W Kruse Ed Center,Arnold W Kruse Ed Center,Orland Park,
Aroma Park Primary School,Aroma Park Primary School,Aroma Park,
Arrowhead Academy,Arrowhead Academy,Coal Valley,
Arrowhead Ranch,Arrowhead Ranch,Coal Valley,
Art in Motion Charter School,Art in Motion Charter School,Chicago,
Arthur Christian School,Arthur Christian School,Arthur,
Arthur CUSD 305,Arthur CUSD 305,Arthur,
Arthur E Welby Hall,Arthur E Welby Hall,Park Ridge,
Arthur Froberg Elem School,Arthur Froberg Elem School,Rockford,
Arthur Grade School,Arthur Grade School,Arthur,
Arthur-Lovington-Atwood-Hammond,Arthur-Lovington-Atwood-Hammond,Arthur,
Arthur-Lovington-Atwood-Hammond High School,Arthur-Lovington-Atwood-Hammond High School,Arthur,
Ascension,Ascension,Oak Park,
Ashburn Community Elem School,Ashburn Community Elem School,Chicago,
Ashe Elem School,Ashe Elem School,Chicago,
Ashkum Early Literacy Center,Ashkum Early Literacy Center,Ashkum,
Ashley CCSD 15,Ashley CCSD 15,Ashley,
Ashley Com Consolidated School,Ashley Com Consolidated School,Ashley,
Ashmore Elem School,Ashmore Elem School,Ashmore,
Ashton-Franklin Center CUSD 275,Ashton-Franklin Center CUSD 275,Ashton,
Ashton-Franklin Center Elem Sch,Ashton-Franklin Center Elem Sch,Franklin Grove,
Ashton-Franklin Center HS,Ashton-Franklin Center HS,Ashton,
Asian Human Services -Passage Chrtr,Asian Human Services -Passage Chrtr,Chicago,
ASP2 STEAM Academy Inc,ASP2 STEAM Academy Inc,Belleville,
ASPIRA Antonia Pantoja Alt H S,ASPIRA Antonia Pantoja Alt H S,Chicago,
Aspira Charter - Bus and Fin,Aspira Charter - Bus and Fin,Chicago,
Aspira Charter - Business and Finance HS,Aspira Charter - Business and Finance HS,Chicago,
ASPIRA Charter - Early College Pr,ASPIRA Charter - Early College Pr,Chicago,
ASPIRA Charter - Early College Prep HS,ASPIRA Charter - Early College Prep HS,Chicago,
ASPIRA Charter - Haugan Campus,ASPIRA Charter - Haugan Campus,Chicago,
Aspire Alternative High School,Aspire Alternative High School,Effingham,
ASSIST RSSP 12,ASSIST RSSP 12,Willow Hill,
ASSIST TAOEP 12,ASSIST TAOEP 12,Willow Hill,
Associated Talmud Torahs,Associated Talmud Torahs,Skokie,
Association for Individual Dev.,Association for Individual Dev.,Aurora,
Astoria CUSD 1,Astoria CUSD 1,Astoria,
Astoria Elem School,Astoria Elem School,Astoria,
Astoria High School,Astoria High School,Astoria,
Astoria Junior High School,Astoria Junior High School,Astoria,
Athens CUSD 213,Athens CUSD 213,Athens,
Athens Junior High School,Athens Junior High School,Athens,
Athens Sr High School,Athens Sr High School,Athens,
Attea Middle School,Attea Middle School,Glenview,
ATT-P Tach Special Education Prog,ATT-P Tach Special Education Prog,Skokie,
Atwood Heights SD 125,Atwood Heights SD 125,Alsip,
Atwood-Hammond Grade School,Atwood-Hammond Grade School,Atwood,
Auburn CUSD 10,Auburn CUSD 10,Auburn,
Auburn Elem School,Auburn Elem School,Auburn,
Auburn High School,Auburn High School,Rockford,
Auburn High School,Auburn High School,Auburn,
Auburn Jr High at Divernon,Auburn Jr High at Divernon,Divernon,
Auburn Middle School,Auburn Middle School,Auburn,
Audubon Elem School,Audubon Elem School,Chicago,
Augustus Tolton Catholic Academy,Augustus Tolton Catholic Academy,Chicago,
Aurora Central Catholic High Sch,Aurora Central Catholic High Sch,Aurora,
AURORA CENTRAL CATHOLIC HIGH SCHOOL,AURORA CENTRAL CATHOLIC HIGH SCHOOL,AURORA,
Aurora Christian Schools - Cornerstone Campus,Aurora Christian Schools - Cornerstone Campus,Sycamore,
Aurora Christian Schools Inc,Aurora Christian Schools Inc,Aurora,
Aurora East USD 131,Aurora East USD 131,Aurora,
Aurora Montessori School,Aurora Montessori School,Aurora,
Aurora Seventh-Day Adventist Sch,Aurora Seventh-Day Adventist Sch,North Aurora,
Aurora West USD 129,Aurora West USD 129,Aurora,
Ausome Foundation & Circles BCS,Ausome Foundation & Circles BCS,Normal,
Austin Career Education Center,Austin Career Education Center,Chicago,
Austin College and Career Acad HS,Austin College and Career Acad HS,Chicago,
Austin College and Career Academy High School,Austin College and Career Academy High School,Chicago,
Autumn Creek Elem Sch,Autumn Creek Elem Sch,Yorkville,
Aux Sable,Aux Sable,Minooka,
Aux Sable Middle Sch,Aux Sable Middle Sch,Joliet,
Avalon Park Elem School,Avalon Park Elem School,Chicago,
Avery Coonley School,Avery Coonley School,Downers Grove,
Avis Huff Student Support Services Center,Avis Huff Student Support Services Center,Kankakee,
Aviston Elem School,Aviston Elem School,Aviston,
Aviston SD 21,Aviston SD 21,Aviston,
Avoca SD 37,Avoca SD 37,Wilmette,
Avoca West Elem School,Avoca West Elem School,Glenview,
Avon Center Elem School,Avon Center Elem School,Round Lake Beach,
Avon Elem Sch,Avon Elem Sch,Avon,
Avondale - Logandale Elementary School,Avondale - Logandale Elementary School,Chicago,
Azuela Elem School,Azuela Elem School,Chicago,
B H R A Cooperative HS,B H R A Cooperative HS,Bismarck,
B J Hooper Elem School,B J Hooper Elem School,Lindenhurst,
Baby Fold,Baby Fold,Normal,
Back of The Yards IB HS,Back of The Yards IB HS,Chicago,
Bais Yaakov High Sch of Chicago,Bais Yaakov High Sch of Chicago,Chicago,
Baker Demonstration School,Baker Demonstration School,Wilmette,
Ball Chatham CUSD 5,Ball Chatham CUSD 5,Chatham,
Ball Elementary School,Ball Elementary School,Chatham,
Balmoral Elem Sch,Balmoral Elem Sch,Crete,
Bancroft Schools & Communities,Bancroft Schools & Communities,Haddonfield,
Banner Elementary School,Banner Elementary School,Dunlap,
Banner Learning Corp.,Banner Learning Corp.,Boca Raton,
Bannockburn School,Bannockburn School,Bannockburn,
Bannockburn SD 106,Bannockburn SD 106,Bannockburn,
Barack H Obama Learning Academy,Barack H Obama Learning Academy,Markham,
Barack Obama Sch of Leadership and STEM,Barack Obama Sch of Leadership and STEM,Chicago Heights,
Barbara A Sizemore Campus,Barbara A Sizemore Campus,Chicago,
Barbara B Rose Elem School,Barbara B Rose Elem School,South Barrington,
Barbereux School,Barbereux School,Evanston,
Barbour Two-Way Lang Immersion,Barbour Two-Way Lang Immersion,Rockford,
Barnard Elem Comp Math & Sci Ctr,Barnard Elem Comp Math & Sci Ctr,Chicago,
Barnsdale Road School,Barnsdale Road School,La Grange Park,
Barrington CUSD 220,Barrington CUSD 220,Barrington,
Barrington Early Learning Center,Barrington Early Learning Center,Barrington,
Barrington High School,Barrington High School,Barrington,
Barrington Mdle Sch- Prairie Cmps,Barrington Mdle Sch- Prairie Cmps,Barrington,
Barrington Middle Sch Station,Barrington Middle Sch Station,Barrington,
Barry Elem School,Barry Elem School,Chicago,
Bartelso Elem School,Bartelso Elem School,Bartelso,
Bartelso SD 57,Bartelso SD 57,Bartelso,
Bartlett Elem School,Bartlett Elem School,Bartlett,
Bartlett High School,Bartlett High School,Bartlett,
Barton Elem School,Barton Elem School,Chicago,
Bartonville Elem School,Bartonville Elem School,Bartonville,
Bartonville SD 66,Bartonville SD 66,Bartonville,
Bass Elem School,Bass Elem School,Chicago,
Batavia Sr High School,Batavia Sr High School,Batavia,
Batavia USD 101,Batavia USD 101,Batavia,
Bateman Elem School,Bateman Elem School,Chicago,
Bayes Achievement Center Inc,Bayes Achievement Center Inc,Huntsville,
Beach Park CCSD 3,Beach Park CCSD 3,Beach Park,
Beach Park Middle School,Beach Park Middle School,Beach Park,
Beacon Academy,Beacon Academy,Evanston,
Beacon Therapeutic School,Beacon Therapeutic School,Chicago,
Beard Elem School,Beard Elem School,Chicago,
Beardstown Christian Academy,Beardstown Christian Academy,Beardstown,
Beardstown CUSD 15,Beardstown CUSD 15,Beardstown,
Beardstown Jr/Sr High School,Beardstown Jr/Sr High School,Beardstown,
Beasley Elem Magnet Academic Ctr,Beasley Elem Magnet Academic Ctr,Chicago,
Beaubien Elem School,Beaubien Elem School,Chicago,
Beautiful Beginnings,Beautiful Beginnings,Rockford,
Beckemeyer Elem School,Beckemeyer Elem School,Hillsboro,
Beckemeyer Elem School,Beckemeyer Elem School,Beckemeyer,
Bednarcik Junior High School,Bednarcik Junior High School,Aurora,
Beebe Elem School,Beebe Elem School,Naperville,
Beecher City CUSD 20,Beecher City CUSD 20,Beecher City,
Beecher City Grade School,Beecher City Grade School,Beecher City,
Beecher City Jr-Sr High School,Beecher City Jr-Sr High School,Beecher City,
Beecher CUSD 200U,Beecher CUSD 200U,Beecher,
Beecher Elem School,Beecher Elem School,Beecher,
Beecher High School,Beecher High School,Beecher,
Beecher Junior High School,Beecher Junior High School,Beecher,
Beethoven Elem School,Beethoven Elem School,Chicago,
Beginners Enrichment Academy,Beginners Enrichment Academy,Chicago,
Behavior Disorder Program Coop,Behavior Disorder Program Coop,Tiskilwa,
Beidler Elem School,Beidler Elem School,Chicago,
Belding Elem School,Belding Elem School,Chicago,
Bell Elem School,Bell Elem School,Chicago,
Belle Aire Elem School,Belle Aire Elem School,Downers Grove,
Belle Alexander Elem School,Belle Alexander Elem School,Kewanee,
Belle Valley School,Belle Valley School,Belleville,
Belle Valley SD 119,Belle Valley SD 119,Belleville,
Bellefaire,Bellefaire,Shaker Heights,
